Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,PtBis_r,PtBis_p,Sig_Pearson,Sig_Spearman
Kinetic_Energy_MJ,0.6295,0.0,0.5799,0.0,0.6295,0.0,YES,YES
Speed,0.563,0.0,0.5799,0.0,0.563,0.0,YES,YES
nGear,0.5188,0.0,0.553,0.0,0.5188,0.0,YES,YES
Engine_Load,0.3521,0.0,0.3764,0.0,0.3521,0.0,YES,YES
Throttle,0.3425,0.0,0.3319,0.0,0.3425,0.0,YES,YES
RPM,0.2517,0.0,0.269,0.0,0.2517,0.0,YES,YES
Energy_Efficiency_Ratio,-0.1774,0.0,-0.0024,0.546626,-0.1774,0.0,YES,NO
Elevation_Delta,0.0752,0.0,0.0488,0.0,0.0752,0.0,YES,YES
Tire_Age_Laps,0.0592,0.0,0.0616,0.0,0.0592,0.0,YES,YES
Acceleration,0.0107,0.006892,-0.0343,0.0,0.0107,0.006892,YES,YES
Longitudinal_Force_N,0.0107,0.006892,-0.0343,0.0,0.0107,0.006892,YES,YES
