Feature,Importance,Std,CI_lo_95,CI_hi_95,t_stat,p_val,Sig
nGear,0.167224,0.005974,0.155398,0.180065,153.3183,0.0,YES
Elevation_Delta,0.162465,0.003787,0.156221,0.169861,234.9769,0.0,YES
Brake,0.080557,0.003449,0.074891,0.086289,127.9295,0.0,YES
Speed,0.000412,0.000147,0.0,0.000495,15.3511,0.0,YES
High_Speed_Zone,0.000206,9.2e-05,0.0,0.000247,12.2642,0.0,YES
Kinetic_Energy_MJ,0.000206,9.2e-05,0.0,0.000247,12.2642,0.0,YES
RPM,0.0,0.0,0.0,0.0,,,NO
Engine_Load,0.0,0.0,0.0,0.0,,,NO
Acceleration,0.0,0.0,0.0,0.0,,,NO
Throttle,0.0,0.0,0.0,0.0,,,NO
Compound_Encoded,0.0,0.0,0.0,0.0,,,NO
Tire_Age_Laps,0.0,0.0,0.0,0.0,,,NO
Longitudinal_Force_N,0.0,0.0,0.0,0.0,,,NO
Speed_Rolling_Avg,0.0,0.0,0.0,0.0,,,NO
Energy_Efficiency_Ratio,0.0,0.0,0.0,0.0,,,NO
Heavy_Braking,0.0,0.0,0.0,0.0,,,NO
Gear_Shift_Active,0.0,0.0,0.0,0.0,,,NO
Track_Zone,0.0,0.0,0.0,0.0,,,NO
